Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:23:10,2021-10-12 08:23:39,"29,538s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:23:10,2021-10-12 08:23:35,"24,939s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:23:11,2021-10-12 08:23:27,"16,133s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:23:27,2021-10-12 08:23:27,"0,551s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:23:27,2021-10-12 08:23:30,"2,254s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:23:30,2021-10-12 08:23:31,"1,604s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:23:31,2021-10-12 08:23:32,"0,736s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:23:32,2021-10-12 08:23:35,"3,145s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:23:35,2021-10-12 08:23:39,"4,226s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,193s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,134s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,000s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:23:36,2021-10-12 08:23:36,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:23:36,2021-10-12 08:23:37,"1,141s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:23:37,2021-10-12 08:23:37,"0,271s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:23:37,2021-10-12 08:23:38,"0,911s",PASSED
closeApplication(),,,,2021-10-12 08:23:38,2021-10-12 08:23:39,"1,105s",PASSED
