Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 18:20:06,2021-10-11 18:20:44,"37,663s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 18:20:07,2021-10-11 18:20:39,"32,425s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 18:20:07,2021-10-11 18:20:26,"19,232s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 18:20:26,2021-10-11 18:20:29,"3,228s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 18:20:29,2021-10-11 18:20:31,"1,905s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 18:20:31,2021-10-11 18:20:33,"1,760s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 18:20:33,2021-10-11 18:20:34,"0,909s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 18:20:34,2021-10-11 18:20:39,"4,946s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 18:20:39,2021-10-11 18:20:44,"4,845s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 18:20:39,2021-10-11 18:20:40,"0,438s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 18:20:40,2021-10-11 18:20:40,"0,361s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 18:20:40,2021-10-11 18:20:40,"0,008s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 18:20:40,2021-10-11 18:20:40,"0,004s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 18:20:40,2021-10-11 18:20:40,"0,005s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 18:20:40,2021-10-11 18:20:40,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 18:20:40,2021-10-11 18:20:41,"1,418s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 18:20:41,2021-10-11 18:20:42,"0,497s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 18:20:42,2021-10-11 18:20:43,"1,087s",PASSED
closeApplication(),,,,2021-10-11 18:20:43,2021-10-11 18:20:44,"0,769s",PASSED
