Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 18:12:21,2021-10-11 18:13:00,"39,352s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 18:12:21,2021-10-11 18:12:55,"33,693s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 18:12:22,2021-10-11 18:12:44,"22,310s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 18:12:44,2021-10-11 18:12:45,"0,905s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 18:12:45,2021-10-11 18:12:48,"2,741s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 18:12:48,2021-10-11 18:12:50,"1,832s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 18:12:50,2021-10-11 18:12:51,"1,431s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 18:12:51,2021-10-11 18:12:55,"3,984s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 18:12:55,2021-10-11 18:13:00,"5,036s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 18:12:55,2021-10-11 18:12:56,"0,425s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 18:12:56,2021-10-11 18:12:56,"0,411s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 18:12:56,2021-10-11 18:12:56,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 18:12:56,2021-10-11 18:12:56,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 18:12:56,2021-10-11 18:12:56,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 18:12:56,2021-10-11 18:12:56,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 18:12:56,2021-10-11 18:12:58,"1,420s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 18:12:58,2021-10-11 18:12:58,"0,532s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 18:12:58,2021-10-11 18:12:59,"1,109s",PASSED
closeApplication(),,,,2021-10-11 18:12:59,2021-10-11 18:13:00,"0,856s",PASSED
