Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 19:47:18,2021-10-11 19:48:03,"44,719s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 19:47:18,2021-10-11 19:47:58,"39,778s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 19:47:19,2021-10-11 19:47:40,"20,649s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 19:47:40,2021-10-11 19:47:50,"10,617s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 19:47:50,2021-10-11 19:47:52,"2,218s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 19:47:52,2021-10-11 19:47:54,"1,737s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 19:47:54,2021-10-11 19:47:55,"0,819s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 19:47:55,2021-10-11 19:47:58,"3,288s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 19:47:58,2021-10-11 19:48:03,"4,515s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,377s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,328s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 19:47:59,2021-10-11 19:47:59,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 19:47:59,2021-10-11 19:48:01,"1,419s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 19:48:01,2021-10-11 19:48:01,"0,455s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 19:48:01,2021-10-11 19:48:02,"1,062s",PASSED
closeApplication(),,,,2021-10-11 19:48:02,2021-10-11 19:48:03,"0,627s",PASSED
