Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:37:15,2021-10-12 08:37:52,"37,634s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:37:15,2021-10-12 08:37:48,"32,264s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:37:16,2021-10-12 08:37:38,"22,355s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:37:38,2021-10-12 08:37:40,"1,220s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:37:40,2021-10-12 08:37:42,"2,278s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:37:42,2021-10-12 08:37:44,"1,588s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:37:44,2021-10-12 08:37:44,"0,713s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:37:44,2021-10-12 08:37:48,"3,378s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:37:48,2021-10-12 08:37:52,"4,653s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:37:48,2021-10-12 08:37:48,"0,270s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:37:48,2021-10-12 08:37:49,"0,151s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:37:49,2021-10-12 08:37:49,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:37:49,2021-10-12 08:37:49,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:37:49,2021-10-12 08:37:49,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:37:49,2021-10-12 08:37:49,"0,000s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:37:49,2021-10-12 08:37:50,"1,172s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:37:50,2021-10-12 08:37:50,"0,285s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:37:50,2021-10-12 08:37:51,"0,937s",PASSED
closeApplication(),,,,2021-10-12 08:37:51,2021-10-12 08:37:52,"1,284s",PASSED
