Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:13:15,2021-10-12 08:13:45,"30,088s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:13:16,2021-10-12 08:13:41,"25,276s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:13:16,2021-10-12 08:13:33,"16,667s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:13:33,2021-10-12 08:13:33,"0,656s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:13:33,2021-10-12 08:13:36,"2,315s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:13:36,2021-10-12 08:13:37,"1,579s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:13:37,2021-10-12 08:13:38,"0,710s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:13:38,2021-10-12 08:13:41,"2,892s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:13:41,2021-10-12 08:13:45,"4,406s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:13:41,2021-10-12 08:13:41,"0,250s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:13:41,2021-10-12 08:13:42,"0,201s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:13:42,2021-10-12 08:13:42,"0,004s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:13:42,2021-10-12 08:13:42,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:13:42,2021-10-12 08:13:42,"0,003s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:13:42,2021-10-12 08:13:42,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:13:42,2021-10-12 08:13:43,"1,196s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:13:43,2021-10-12 08:13:43,"0,301s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:13:43,2021-10-12 08:13:44,"0,913s",PASSED
closeApplication(),,,,2021-10-12 08:13:44,2021-10-12 08:13:45,"1,209s",PASSED
