Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 14:08:30,2021-10-11 14:09:06,"35,770s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 14:08:31,2021-10-11 14:09:01,"30,237s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 14:08:31,2021-10-11 14:08:50,"19,370s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 14:08:50,2021-10-11 14:08:51,"1,186s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 14:08:51,2021-10-11 14:08:54,"2,507s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 14:08:54,2021-10-11 14:08:56,"1,820s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 14:08:56,2021-10-11 14:08:57,"0,984s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 14:08:57,2021-10-11 14:09:01,"3,954s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 14:09:01,2021-10-11 14:09:06,"5,155s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 14:09:01,2021-10-11 14:09:01,"0,383s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 14:09:01,2021-10-11 14:09:02,"0,347s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 14:09:02,2021-10-11 14:09:02,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 14:09:02,2021-10-11 14:09:02,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 14:09:02,2021-10-11 14:09:02,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 14:09:02,2021-10-11 14:09:02,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 14:09:02,2021-10-11 14:09:03,"1,427s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 14:09:03,2021-10-11 14:09:04,"0,576s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 14:09:04,2021-10-11 14:09:05,"1,306s",PASSED
closeApplication(),,,,2021-10-11 14:09:05,2021-10-11 14:09:06,"0,854s",PASSED
