Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:08:15,2021-10-12 08:08:45,"29,829s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:08:15,2021-10-12 08:08:40,"24,957s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:08:16,2021-10-12 08:08:32,"16,139s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:08:32,2021-10-12 08:08:33,"0,582s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:08:33,2021-10-12 08:08:35,"2,331s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:08:35,2021-10-12 08:08:37,"1,640s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:08:37,2021-10-12 08:08:37,"0,673s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:08:37,2021-10-12 08:08:40,"3,151s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:08:40,2021-10-12 08:08:45,"4,418s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,211s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,177s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,004s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,003s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:08:41,2021-10-12 08:08:41,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:08:41,2021-10-12 08:08:42,"1,152s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:08:42,2021-10-12 08:08:43,"0,283s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:08:43,2021-10-12 08:08:44,"0,932s",PASSED
closeApplication(),,,,2021-10-12 08:08:44,2021-10-12 08:08:45,"1,093s",PASSED
