Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:03:28,2021-10-12 08:04:06,"38,683s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:03:28,2021-10-12 08:04:02,"33,280s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:03:29,2021-10-12 08:03:53,"23,596s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:03:53,2021-10-12 08:03:54,"0,755s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:03:54,2021-10-12 08:03:56,"2,200s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:03:56,2021-10-12 08:03:57,"1,596s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:03:57,2021-10-12 08:03:58,"0,933s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:03:58,2021-10-12 08:04:02,"3,407s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:04:02,2021-10-12 08:04:06,"4,782s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:04:02,2021-10-12 08:04:03,"0,256s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:04:03,2021-10-12 08:04:03,"0,184s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:04:03,2021-10-12 08:04:03,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:04:03,2021-10-12 08:04:03,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:04:03,2021-10-12 08:04:03,"0,003s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:04:03,2021-10-12 08:04:03,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:04:03,2021-10-12 08:04:04,"1,187s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:04:04,2021-10-12 08:04:04,"0,328s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:04:04,2021-10-12 08:04:05,"0,948s",PASSED
closeApplication(),,,,2021-10-12 08:04:05,2021-10-12 08:04:06,"1,255s",PASSED
