Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 07:58:12,2021-10-12 07:58:41,"28,915s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 07:58:12,2021-10-12 07:58:36,"24,010s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 07:58:12,2021-10-12 07:58:28,"16,100s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 07:58:28,2021-10-12 07:58:29,"0,734s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 07:58:29,2021-10-12 07:58:31,"2,187s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 07:58:31,2021-10-12 07:58:33,"1,091s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 07:58:33,2021-10-12 07:58:33,"0,802s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 07:58:33,2021-10-12 07:58:36,"2,722s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 07:58:36,2021-10-12 07:58:41,"4,494s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,220s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,160s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,003s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 07:58:37,2021-10-12 07:58:37,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 07:58:37,2021-10-12 07:58:38,"1,141s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 07:58:38,2021-10-12 07:58:38,"0,307s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 07:58:38,2021-10-12 07:58:39,"0,945s",PASSED
closeApplication(),,,,2021-10-12 07:58:39,2021-10-12 07:58:41,"1,162s",PASSED
