Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 08:10:43,2021-10-12 08:11:15,"32,048s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 08:10:43,2021-10-12 08:11:10,"27,138s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 08:10:44,2021-10-12 08:11:02,"18,478s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 08:11:02,2021-10-12 08:11:03,"0,680s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 08:11:03,2021-10-12 08:11:05,"1,955s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 08:11:05,2021-10-12 08:11:06,"1,615s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 08:11:06,2021-10-12 08:11:07,"0,717s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 08:11:07,2021-10-12 08:11:10,"3,151s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 08:11:10,2021-10-12 08:11:15,"4,422s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,348s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,165s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,005s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,001s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 08:11:11,2021-10-12 08:11:11,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 08:11:11,2021-10-12 08:11:12,"1,156s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 08:11:12,2021-10-12 08:11:12,"0,282s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 08:11:12,2021-10-12 08:11:13,"0,918s",PASSED
closeApplication(),,,,2021-10-12 08:11:13,2021-10-12 08:11:15,"1,180s",PASSED
