Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-12 07:42:06,2021-10-12 07:42:37,"30,888s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-12 07:42:06,2021-10-12 07:42:32,"26,009s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-12 07:42:07,2021-10-12 07:42:24,"17,198s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-12 07:42:24,2021-10-12 07:42:25,"0,729s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-12 07:42:25,2021-10-12 07:42:27,"2,324s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-12 07:42:27,2021-10-12 07:42:29,"1,608s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-12 07:42:29,2021-10-12 07:42:30,"0,701s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-12 07:42:30,2021-10-12 07:42:32,"2,904s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-12 07:42:33,2021-10-12 07:42:37,"4,368s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,228s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,132s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,002s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,002s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-12 07:42:33,2021-10-12 07:42:33,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-12 07:42:33,2021-10-12 07:42:34,"1,135s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-12 07:42:34,2021-10-12 07:42:35,"0,255s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-12 07:42:35,2021-10-12 07:42:36,"0,906s",PASSED
closeApplication(),,,,2021-10-12 07:42:36,2021-10-12 07:42:37,"1,226s",PASSED
