Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 20:20:31,2021-10-11 20:21:13,"42,121s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 20:20:31,2021-10-11 20:21:08,"36,693s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 20:20:32,2021-10-11 20:20:54,"21,968s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 20:20:54,2021-10-11 20:20:57,"3,411s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 20:20:57,2021-10-11 20:21:00,"2,848s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 20:21:00,2021-10-11 20:21:02,"1,765s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 20:21:02,2021-10-11 20:21:03,"0,914s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 20:21:03,2021-10-11 20:21:08,"5,392s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 20:21:08,2021-10-11 20:21:13,"4,993s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 20:21:08,2021-10-11 20:21:09,"0,546s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 20:21:09,2021-10-11 20:21:09,"0,422s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 20:21:09,2021-10-11 20:21:09,"0,010s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 20:21:09,2021-10-11 20:21:09,"0,002s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 20:21:09,2021-10-11 20:21:09,"0,006s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 20:21:09,2021-10-11 20:21:09,"0,003s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 20:21:09,2021-10-11 20:21:11,"1,440s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 20:21:11,2021-10-11 20:21:11,"0,472s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 20:21:11,2021-10-11 20:21:12,"1,103s",PASSED
closeApplication(),,,,2021-10-11 20:21:12,2021-10-11 20:21:13,"0,736s",PASSED
