Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 21:40:15,2021-10-11 21:41:33,"1m - 18,248s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 21:40:16,2021-10-11 21:41:27,"1m - 11,677s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 21:40:17,2021-10-11 21:41:11,"54,307s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 21:41:11,2021-10-11 21:41:13,"1,630s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 21:41:13,2021-10-11 21:41:15,"2,080s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 21:41:15,2021-10-11 21:41:16,"1,084s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 21:41:16,2021-10-11 21:41:16,"0,760s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 21:41:16,2021-10-11 21:41:27,"10,940s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 21:41:27,2021-10-11 21:41:33,"5,894s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 21:41:28,2021-10-11 21:41:29,"0,294s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 21:41:29,2021-10-11 21:41:29,"0,187s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 21:41:29,2021-10-11 21:41:29,"0,026s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 21:41:29,2021-10-11 21:41:29,"0,002s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 21:41:29,2021-10-11 21:41:29,"0,004s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 21:41:29,2021-10-11 21:41:29,"0,000s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 21:41:29,2021-10-11 21:41:30,"1,178s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 21:41:30,2021-10-11 21:41:30,"0,356s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 21:41:30,2021-10-11 21:41:31,"0,930s",PASSED
closeApplication(),,,,2021-10-11 21:41:31,2021-10-11 21:41:33,"1,909s",PASSED
